landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,InSAR_dv,X,Y,label
2,3,188,35.10754776,16.56490326,248.9624939,6806,0.910478175,1.615250468,140.0288228,584.5055351,128.3441234,1261.134842,0.000001,856494,832548.875,1
1,1,10,0.000001,0.000001,-1,690,-5,6,64.03401827,1482.474259,4753.512465,1230.968256,-1.548599958,808962.8125,818518.75,0
2,3,147,31.93530846,17.58588409,301.759491,6819,1.136711359,2.082164526,170.8052675,314.7610401,3666.50295,846.633602,0.944146991,856543,832897.5,1
2,3,20,6.439267159,16.47451019,296.5650635,7752,-0.572151721,3.791027546,37.10322803,501.3503335,1498.472779,655.5544748,-1.033394456,822482.625,832912.9375,0
2,2,278,27.2372036,45.50341415,78.69007111,7307,1.638513565,2.966656685,445.102237,785.0144719,4384.287501,321.8332921,0.000001,850637,835167.75,1
2,3,147,27.23642731,2.589006662,11.30993176,6962,0.945333123,2.273542643,25.76942286,60.92037407,4295.906589,335.0212828,0.000001,833990.125,833364.75,0
3,3,165,33.57813263,21.59791946,351.2538452,7014,0.853162885,1.672565818,119.1771114,178.3263656,148.3985276,342.5576458,0.205507547,804731.5625,811608.125,0
1,3,13,8.371668816,32.9406929,120.9637604,7132,-0.653357446,3.179086208,1.249332017,49.69573675,46.41380389,1396.64207,1.352605462,844872.75,826230.1875,0
2,3,13,41.55549622,19.82470512,184.8990936,6829,1.488911152,1.729964614,45.17162393,954.9204663,5657.494448,1848.000048,0.229087621,820563.8125,819024.6875,1
2,2,206,10.1177187,36.14425278,225,7500,-0.460603803,2.986332417,16.43632306,624.4270972,3614.277266,197.2610536,0.000001,855922.1875,831614.8125,0
1,2,30,4.563117504,31.02047348,251.5650482,6544,-5,6,1.60196247,17.31408498,5167.517633,73.79795475,-0.042704612,833167.9375,836144.5,0
2,2,232,27.94878578,67.66402435,272.7263184,6490,0.975622058,2.243253708,173.4411484,416.4312052,5188.941651,1387.95891,-1.052431583,843518,822495,1
3,3,19,39.8009491,46.02402878,215.134201,3669,1.426952243,1.791923642,63.48018373,854.5174304,979.3747661,841.0658355,1.672145367,855520.9375,823506.75,1
3,2,9,0.000001,0.000001,-1,2559,-5,6,30.43285103,37.57290034,2587.128354,659.6792783,-1.563150287,816053.625,831066.125,0
2,3,64,2.043970346,34.06800079,45,6820,-5,6,1.675830371,546.4399276,2742.746336,702.1042005,-1.555155993,822072.25,821878.375,0
2,1,291,36.88163757,27.82373428,222.2736969,6427,1.322182655,1.89669323,31.81635813,1765.776358,6144.176012,289.2639172,2.090058088,806797.1875,812192.125,1
1,1,5,0.000001,0.000001,-1,1535,-5,6,0.170862986,6.305866225,1606.169762,1726.942457,0.090547219,834260.375,821730.75,0
