landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,DV,X,Y,label
1,3,66,27.94853973,39.07130814,205.3461761,6961,1.5,2,28.92468563,551.3072656,397.8286066,396.0538641,0.652146518,836828,812336,1
3,3,236,41.39493179,66.54564667,166.7594757,6803,1.483263731,1.735612154,24.65176071,47.11069078,145.5763034,809.3761877,-0.805154502,806300,812550,1
3,3,74,37.46380615,74.66993713,197.2414551,2998,1.343287468,1.875588298,29.75137376,1402.761524,1404.017482,507.4660872,0.187755063,831270,825085,1
1,2,0,0.000001,0.000001,-1,1007,-5,6,1157.811113,1283.848146,1296.943224,355.4428002,-0.000001,843730.125,836864.1875,0
2,3,284,10.87865829,71.99107361,23.19858932,8000,1.569570422,4.868181229,113.5416536,43.85388339,438.8216762,217.7922288,1.966782689,843225,829055,1
3,2,4,11.41440868,33.90210724,180,4139,-5,6,20.23703416,7.785347109,299.3116201,723.994283,-0.622148335,824235.625,833837.375,0
2,1,56,15.93566704,39.2699852,135,6443,1.108070612,3.614882708,40.34892181,302.2134239,393.5963149,521.5843301,-1.745995045,823497,825192,1
2,3,129,31.63741112,52.60255814,145.0079803,7524,0.778525651,1.747202992,7.192666652,473.4853387,1667.960331,322.0858321,-0.199218944,832764,823135,1
1,2,0,0.000001,0.000001,-1,768,-5,6,813.4529894,1056.918224,994.5590898,548.9041529,-0.000001,843256.125,836619.6875,0
3,2,3,2.043900251,33.96709824,45,0,-1.723504901,4.942380905,27.3572895,545.3732487,6659.965634,291.5340603,0.332743019,813376.125,820018.9375,0
2,3,63,24.09381104,16.88738251,343.6104736,6234,1.903283,3.512817383,199.2533355,839.9104406,8580.794649,183.9287509,-5.145414352,828838,842074.125,0
1,3,32,55.45817947,45.92905426,72.82409668,7721,1.6363132,0.889415503,36.95041598,106.6976139,468.147751,2903.049751,3.765744209,843600,810942,1
3,3,356,26.78338432,18.0427227,270,7294,0.92579025,2.293085575,86.35091272,489.9538057,74.04095104,233.9024704,-0.000001,843397.9375,827422.875,0
