landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,InSAR_dv,X,Y,label
2,2,44,38.16790009,69.39090729,132.3970032,7321,1.368659973,1.850219965,8.02075994,1008.863643,4694.349661,20.37910808,-2.819999933,818606.2143,815309.6857,2.819999933
2,3,164,19.45789909,52.30379486,90,7579,0.568974972,2.64989996,62.16106783,1233.037709,3571.053427,2888.612247,-6.028269768,843678.1355,819828.5633,6.028269768
1,2,104,24.2968998,12.74075127,296.5650024,7252,0.814152002,2.404720068,323.5848214,2642.907277,5553.137498,2309.329055,-3.043829918,849391.8418,814225.6877,3.043829918
3,3,23,7.333230019,38.14805603,281.3099976,7291,0.252256006,4.352910042,50.21464171,7.236583635,996.0872965,846.1545322,-8.205710411,801969.2196,808355.7097,8.205710411
3,3,8,49.01259995,72.05307007,15.25510025,7159,1.749969959,1.468909979,4.406970429,435.8151169,608.5463668,343.0672947,-4.284860134,807315.4287,809459.2559,4.284860134
3,3,11,24.89039993,37.24225616,67.61990356,6072,0.494955003,2.030770063,47.56484379,70.2098307,654.3257031,217.9205274,-6.903170109,820044.4717,834161.9722,6.903170109
1,1,118,25.14749908,46.82944107,216.2539978,7556,0.853233993,2.365639925,3.437853539,233.5745774,6150.048858,4813.699322,-5.476650238,816950.3171,805887.693,5.476650238
2,3,61,36.69670105,38.90524673,208.3009949,7719,2.008599997,2.596570015,81.01967325,207.7913264,78.99130646,588.0801033,-2.46333003,805155.8952,808174.1721,2.46333003
1,3,8,2.044059992,14.99750233,315,8242,0.327897012,6.993619919,24.66470202,226.4385364,5164.300615,1383.67905,-8.741419792,842571.9186,843587.7488,8.741419792
2,3,365,30.15539932,28.22776794,272.4899902,7275,1.066390038,2.152489901,47.78954067,221.1578462,0.22024898,221.4931842,-6.75,838294.3184,811855.3759,6.75
2,2,489,30.34379959,37.02679825,7.431409836,7677,1.073940039,2.144929886,103.1684035,244.7226222,1299.150782,701.0265505,-2.467200041,833102.8997,815375.3919,2.467200041
3,3,138,29.43530083,30.17672348,296.5650024,6350,0.69066602,1.83506,71.30630518,272.788568,3802.851971,947.5856021,-3.957690001,822600.434,820811.9144,3.957690001
2,3,152,27.23800087,10.51619244,78.69010162,6966,0.9454,2.273479939,64.58603457,45.5984914,6.050494644,499.4584151,-12.09000015,803646.8577,808173.9405,12.09000015
2,2,110,28.37360001,34.2220192,127.4049988,7520,0.993443012,2.225430012,258.2412804,567.1538182,4239.994147,283.422175,-2.311170101,818189.2301,815127.652,2.311170101
3,3,64,20.77560043,32.25882339,273.8139954,6952,2.02651,3.964960098,29.53301112,448.737406,3072.795681,120.7555132,-2.774719954,821432.1111,821345.5139,2.774719954
2,3,208,24.43029976,11.56333828,180,7942,2.206640005,3.78482008,15.85129147,363.2679785,768.9327104,680.3243683,-2.86206007,833987.9766,823004.3054,2.86206007
2,3,211,24.29470062,41.65216827,26.56509972,5137,0.467474997,2.05824995,104.1201246,347.8226028,4040.908759,312.6882537,-3.136610031,811796.0698,827802.0376,3.136610031
2,2,215,18.60820007,29.84738922,257.0050049,8015,0.174290001,2.351439953,39.06670517,563.4409279,6835.355378,6737.650636,-4.822340012,845653.903,803569.3731,4.822340012
2,3,33,20.43729973,66.03601837,298.3009949,7085,1.374330044,3.348619938,12.07425416,888.5682009,2593.875469,1164.114816,-2.910000086,852955.8599,836169.0392,2.910000086
2,3,169,24.29700089,9.291597366,26.56509972,7250,0.467584014,2.058140039,20.95415114,51.01189196,4314.408159,756.814593,-2.862770081,833667.2458,833712.8466,2.862770081
2,2,116,21.75390053,10.46090698,124.6949997,7614,1,2.2,285.5668554,600.89172,4265.781109,296.9436612,-3.00999999,818197.6968,815167.8688,3.00999999
